Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015,name,longitude,latitude,altitude
30.3,32.53,33.59,34.45,35.62,36.83,38,Tokyo,139.650027,35.6764225,0
7.33,9.73,12.41,15.73,18.67,21.94,25.7,Delhi,77.2090212,28.6139391,0
6.85,7.82,10.45,13.96,16.76,19.98,23.74,Shanghai,121.473701,31.230416,0
13.39,14.78,15.91,17.01,18.29,19.66,21.07,São Paulo,-46.6395571,-23.5557714,0
10.39,12.44,14.31,16.37,17.89,19.42,21.04,Mumbai (Bombay),72.8776559,19.0759837,0
14.28,15.64,17.02,18.46,19.28,20.13,21,Ciudad de México (Mexico City),-99.133208,19.4326077,0
6.02,6.79,8.31,10.16,12.81,16.19,20.38,Beijing,116.407395,39.904211,0
17.58,18.39,18.94,18.66,18.76,19.49,20.24,Kinki M.M.A. (Osaka),135.5022535,34.6937249,0
8.33,9.89,11.96,13.63,15.17,16.9,18.77,Al-Qahirah (Cairo),31.5370003,29.9537564,0
15.83,16.09,16.94,17.81,18.09,18.37,18.59,New York-Newark,-74.1744624,40.6895314,0
4.66,6.62,8.33,10.28,12.33,14.73,17.6,Dhaka,90.4152376,23.804093,0
6.03,7.15,8.47,10.03,11.89,14.08,16.62,Karachi,67.0011364,24.8607343,0
9.96,10.51,11.39,12.41,13.33,14.25,15.18,Buenos Aires,-58.3815591,-34.6036844,0
9.95,10.89,11.92,13.06,13.7,14.28,14.86,Kolkata (Calcutta),88.363895,22.572646,0
5.41,6.55,7.67,8.74,10.51,12.7,14.16,Istanbul,28.9783589,41.0082376,0
